Label,P0,P1,P2,P3,P4,Initial P0,Initial P1,Initial P2,Initial P3,Goodness of Fit,RSquared
3D_1ROI,160.424,480.839,11.382,3.364,8291.108,128,443.104,11.279,5.743,0.960,0.968
3D_0ROI,175.822,555.876,11.307,3.060,28547.869,128,497.361,11.435,5.566,0.914,0.930
